aX,aY,aZ,gX,gY,gZ
0.864,-0.92,-0.219,-70.557,-80.017,2.747
0.909,-0.902,-0.268,-65.002,-60.181,6.653
0.959,-0.834,-0.346,-57.739,-43.823,7.263
0.987,-0.755,-0.422,-48.035,-32.104,7.08
0.965,-0.654,-0.503,-38.269,-23.804,9.338
0.932,-0.563,-0.569,-27.283,-16.907,13.611
0.89,-0.47,-0.616,-15.32,-10.62,17.7
0.854,-0.383,-0.643,-5.31,-5.31,20.081
0.831,-0.283,-0.692,2.563,-0.427,20.569
0.829,-0.179,-0.759,8.423,3.235,19.836
0.821,-0.07,-0.836,13.672,5.188,20.02
0.799,0.022,-0.875,19.47,5.859,20.996
0.785,0.088,-0.89,23.621,6.836,21.057
0.78,0.15,-0.916,25.452,7.751,20.996
0.766,0.225,-0.953,25.574,6.287,18.86
0.755,0.314,-0.991,24.719,3.174,13.062
0.737,0.408,-1.03,22.644,3.601,7.446
0.783,0.472,-1.079,19.104,6.47,4.333
0.821,0.528,-1.085,16.418,9.583,4.456
0.78,0.57,-1.053,13.611,6.165,6.348
0.73,0.59,-1.025,15.32,5.188,12.939
0.695,0.552,-0.967,19.897,6.714,21.729
0.652,0.479,-0.892,18.982,6.958,26.245
0.582,0.422,-0.843,13.977,5.859,29.602
0.562,0.354,-0.815,9.277,7.874,28.87
0.542,0.286,-0.788,4.089,9.705,24.658
0.527,0.243,-0.758,-2.197,9.033,20.142
0.534,0.214,-0.748,-7.324,8.606,16.785
0.538,0.185,-0.748,-9.705,6.531,14.343
0.534,0.155,-0.76,-9.216,2.625,12.451
0.524,0.116,-0.769,-7.324,-0.61,10.864
0.52,0.073,-0.779,-5.615,-1.587,9.094
0.522,0.042,-0.795,-4.578,-1.038,7.202
0.538,0.02,-0.792,-3.296,0.244,4.639
0.558,0.009,-0.779,-2.93,1.038,1.099
0.556,0.023,-0.78,-2.747,0.427,-1.831
0.563,0.051,-0.798,-1.465,0.122,-4.578
0.579,0.078,-0.812,0.183,1.526,-6.897
0.589,0.105,-0.803,0.366,3.113,-8.362
0.608,0.126,-0.777,0.122,4.272,-9.155
0.619,0.15,-0.765,0.793,4.395,-9.399
0.623,0.176,-0.778,1.953,3.479,-8.789
0.619,0.194,-0.808,2.197,2.197,-7.385
0.606,0.204,-0.836,2.136,1.587,-5.249
0.585,0.205,-0.85,2.319,2.014,-2.991
0.575,0.193,-0.843,2.991,3.601,-0.61
0.565,0.185,-0.825,2.686,5.554,0.854
0.567,0.175,-0.809,0.793,7.019,1.953
0.565,0.174,-0.803,-1.709,7.935,2.991
0.57,0.173,-0.816,-3.601,8.057,4.089
0.567,0.17,-0.833,-3.784,5.859,4.944
0.563,0.166,-0.84,-3.418,2.747,5.615
0.551,0.153,-0.839,-3.174,-0.427,6.287
0.521,0.156,-0.837,-2.258,-3.113,7.629
0.536,0.128,-0.833,-1.16,-4.7,7.141
0.506,0.131,-0.834,-0.244,-5.859,6.47
0.53,0.121,-0.847,1.038,-3.906,5.188
0.53,0.115,-0.842,-0.183,-2.869,2.502
0.511,0.128,-0.83,-2.075,-2.258,-0.61
0.532,0.13,-0.823,-2.991,1.587,-3.784
0.569,0.125,-0.792,-4.089,4.7,-6.104
0.581,0.142,-0.761,-6.287,5.066,-6.958
0.615,0.156,-0.754,-7.385,5.493,-6.653
0.646,0.173,-0.751,-7.385,4.333,-5.432
