aX,aY,aZ,gX,gY,gZ
-2.032,-0.33,-0.27,50.903,55.725,-116.638
-1.872,0.052,-0.33,79.529,48.645,-115.723
-1.638,0.384,-0.363,113.77,37.476,-107.544
-1.223,0.715,-0.382,150.146,23.682,-85.449
-0.483,0.913,-0.415,173.95,3.052,-33.02
0.541,0.817,-0.346,166.565,-36.133,57.068
1.527,0.614,-0.444,114.075,-100.769,166.992
2.49,0.201,-0.553,14.038,-167.847,269.836
3.231,-0.155,-0.567,-123.108,-201.599,333.923
3.65,-0.194,-0.321,-258.301,-171.631,350.22
3.719,-0.134,0.433,-321.289,-68.665,311.951
3.685,-0.184,1.311,-288.513,72.021,235.779
3.672,-0.321,1.738,-211.304,196.167,180.42
3.288,-0.639,2.036,-160.583,251.282,165.588
2.702,-0.956,2.328,-134.644,256.531,163.818
2.143,-1.247,2.529,-110.046,238.831,152.405
1.797,-1.453,2.604,-77.026,199.707,128.296
1.776,-1.531,2.596,-31.982,147.461,101.563
1.564,-1.375,2.403,4.639,65.43,75.562
1.135,-1.023,1.774,28.931,-15.93,30.884
0.687,-0.545,0.95,54.688,-69.397,-20.569
0.225,-0.119,0.11,74.28,-105.774,-58.96
-0.109,0.143,-0.574,88.135,-130.432,-71.594
-0.265,0.146,-1.037,89.172,-137.817,-52.551
-0.29,-0.044,-1.188,70.557,-124.329,-12.451
-0.259,-0.297,-1.107,34.424,-94.177,21.729
-0.149,-0.485,-0.882,-10.864,-53.162,32.166
-0.002,-0.565,-0.527,-56.458,-11.169,24.902
0.128,-0.58,-0.126,-90.698,20.63,14.587
0.249,-0.596,0.263,-103.455,43.335,6.775
0.273,-0.588,0.618,-97.29,54.199,1.16
0.291,-0.568,0.853,-78.857,51.208,-1.282
0.255,-0.578,0.901,-50.232,37.781,-0.183
0.276,-0.63,0.797,-9.521,26.611,3.174
0.336,-0.717,0.635,29.602,8.118,7.69
0.377,-0.841,0.444,52.49,-14.099,10.925
0.365,-0.945,0.264,60.059,-35.156,13.489
0.303,-0.976,0.06,56.58,-51.392,14.038
0.273,-1.011,-0.085,47.424,-52.551,15.869
0.228,-1.06,-0.109,31.799,-43.213,18.066
0.244,-1.087,-0.073,12.207,-30.09,14.099
0.303,-1.073,-0.002,-4.272,-14.648,9.521
0.354,-1.046,0.086,-15.93,-3.784,6.714
0.393,-1.031,0.169,-21.851,1.343,5.127
0.418,-1.012,0.222,-24.719,1.587,3.54
